,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
14269,37359053,ACOMODAÇÃO ROCK IN RIO - VÁ A PÉ AO FESTIVAL!!,44342697,Luciana,Jacarepaguá,-22.96782,-43.38652,Quarto Inteiro,550,1,1,1,180
14270,37360175,COPACABANA STUDIO VISTA MAR POSTO 6,13664216,Maria Lucia,Copacabana,-22.98206,-43.19221,Espaço Inteiro,1080,5,0,25,169
14271,37361708,Apartamento Recreio tranquilo e acolhedor,56861195,Rejane,Recreio dos Bandeirantes,-23.03029,-43.47904,Espaço Inteiro,657,2,4,1,84
14272,37392062,LSH Lifestyle Hotel - The Mountain Twin Room,263499518,LSH Lifestyle Hotel,Barra da Tijuca,-23.01241,-43.31784,Quarto Inteiro,879,1,0,6,364
14273,37397017,"Lindo, bem equipado, confortável, boa localizacão.",11047737,Marcio Barros,Recreio dos Bandeirantes,-23.02353,-43.5118,Espaço Inteiro,450,3,2,1,172
14274,37399230,"Acomodação Leme\Copacabana, o melhor do Leme.",7877198,Rosangela,Leme,-22.96351,-43.16955,Espaço Inteiro,200,2,5,1,333
14275,37402649,Acordar em São Conrado com visual incrível do mar,92678907,Flávia,São Conrado,-22.99874,-43.26657,Espaço Inteiro,3029,3,1,1,265
14276,37402685,BOTAFOGO LIMA,60298129,Danide,Botafogo,-22.95724,-43.17916,Espaço Inteiro,493,2,7,29,75
14277,37403072,Quarto na praia do Leme RJ,275038963,Fernanda,Leme,-22.962,-43.17004,Quarto Inteiro,100,1,4,1,0
14278,37411267,Seaview Penthouse Arpoador,212814769,Aline,Ipanema,-22.98763,-43.1928,Espaço Inteiro,390,2,83,1,0
14279,37417060,"Apt Leblon, 2 quartos, 2 varandas/vista incrível!🤩",275299780,Camila,Leblon,-22.98226,-43.21573,Espaço Inteiro,1714,3,57,1,50
14280,37423892,Quarto próximo ao Rock In Rio,42234930,Susana,Jacarepaguá,-22.96916,-43.39299,Quarto Inteiro,700,1,3,3,364
14281,37426124,Flat for up to 5 people in Copacabana  CaviRio  BC201,66039372,CaviRio,Copacabana,-22.9839,-43.19341,Espaço Inteiro,540,1,26,26,304
14282,37426516,Mansão 5 ou 7 quartos Temporada Barra da Tijuca,15900036,Assunção De Fatima,Barra da Tijuca,-22.9964,-43.38909,Espaço Inteiro,5714,1,6,22,364
14283,37427822,Bora Bora RESORT Condomínio de Luxo na Barra,23594742,Gerson,Barra da Tijuca,-22.97323,-43.38899,Espaço Inteiro,600,2,22,2,69
14284,37429956,Apartamento Copacabana 905 lateral pro mar,271664609,Cecilio,Leme,-22.96307,-43.17131,Espaço Inteiro,1135,6,0,9,179
14285,37430792,Apartamento em Ipanema-2 quartos a 200m da praia.,13537443,Renata,Ipanema,-22.98647,-43.19356,Espaço Inteiro,516,4,21,1,190
14286,37432111,"RECREIO DOS BANDEIRANTES, PRÓXIMO SHOPPING, PRAIA.",189638501,Roberto,Vargem Grande,-23.02073,-43.49345,Espaço Inteiro,293,4,23,1,324
14287,37445992,Catete - Harmonia entre tradição e modernidade,282374836,Victor,Catete,-22.92197,-43.17838,Espaço Inteiro,120,3,2,1,117
14288,37453702,Apartamento em Ipanema a uma quadra da praia!,237443701,Carlos,Ipanema,-22.98524,-43.1972,Espaço Inteiro,150,2,5,1,53
